,date,name,description_ja,season,episode,show_id,show,show_ja
0,2016-11-30, 1. 未知なる戦い ,何が来る！？迫る恐怖に動かず耐える８人の挑戦者。密室に漂う煙、爆音、そして予測不能の仕掛けは頭上からも襲いかかる！思わず悲鳴をあげる者、笑いを堪え切れない者…限界まで追い詰められていく中、想定外の強さを見せる者が現れた。第１ステージの脱落者は２名。生き残るのは誰！？出演者：フットボールアワー 岩尾望、安田大サーカス   クロちゃん、南海キャンディーズ   しずちゃん、鈴木奈々、ダイアモンド✡ユカイ、FUJIWARA 藤本敏史、ボビー・オロゴン、諸星和己 (C)2018 YD Creation,1,S01E01,freeze,FREEZE,FREEZE
1,2018-09-26, 2. 魔の手 ,それを笑いに使うのか！？第1ステージを勝ち抜いた6人を襲うのは、最先端テクノロジーを駆使した魔の“手”。時に恐怖を、時に快感をもたらすその仕掛けに、翻弄される挑戦者たち。そして第2ステージのラスト、静寂の空間にあまりにも不気味な声が響き渡った・・・(C)2018 YD Creation,1,S01E02,freeze,FREEZE,FREEZE
2,2018-10-03, 3. 水の悪夢 ,第３ステージ進出者を待ち受けるのは、足元に水が張られた部屋。水ならではの地獄が挑戦者たちに迫り来る！ついに我慢の限界を超えて絶叫し、崩壊する挑戦者も…。悪夢のような時間を耐え抜き、決勝に進むのは誰なのか？そして決勝への切符をかけた敗者復活戦も始まった！(C)2018 YD Creation,1,S01E03,freeze,FREEZE,FREEZE
3,2018-10-10, 4. カムバック ,決勝進出をかけた運命の敗者復活戦。頭上から忍び寄る“８本足の刺客”に、「本当にムリ！」と涙を流す者もいれば、微動だにせず、松本人志が絶賛した者も。過酷さを増す仕掛けに耐え続けることで、不思議な笑いが生まれていく。そして、再び優勝賞金１００万に挑める、１人の復活者が決まった。(C)2018 YD Creation,1,S01E04,freeze,FREEZE,FREEZE
4,2018-10-17, 5. 決着。 ,３人のファイナリストが挑む最終決戦。これまでで最も狭い、逃げ場のない空間で究極の仕掛けが炸裂する。爆風が吹き荒れようとも、絶叫が響こうとも、互いに譲らない戦いはまさに名勝負。果たして頂点に立つのは？「頑張ってよかったな」激闘の後、初代チャンピオンはそう語った…。(C)2018 YD Creation,1,S01E05,freeze,FREEZE,FREEZE
5,2017-04-26, 1. 新たなる闘いのはじまり ,松本人志から、再び招待状が送られる。今回は松本の新たな企みの元、芸人達が選考された。シーズン１の影響で、招待状の“意味”をすぐに理解する芸人達。参加費の100万円を捻出できるのかとドキュメンタルのステージに立ちたいという芸人魂が交錯する。笑いの格闘技に挑戦する10人が決まり、新たな闘いが幕を開ける。出演者：ジミー大西、FUJIWARA 藤本敏史、宮川大輔、バナナマン 日村勇紀、アンジャッシュ 児嶋一哉、バイきんぐ 小峠英二、森三中 大島美幸、平成ノブシコブシ 吉村崇、ダイアン 津田篤宏、ジャングルポケット 斉藤慎二(C)2017 YD Creation,2,S02E01,freeze,FREEZE,FREEZE
6,2017-05-03, 2. 激しい攻防戦 ,笑わせなければ勝者にはなれない。新ルールの効果なのか、用意したとんでもない小道具も駆使し、次々に笑いを仕掛ける芸人達。笑いを堪え、そして攻撃する激しい攻防が続く。怒涛の闘いの中、一瞬の気の緩みから自爆する者が。予想外の男が最初の脱落者となる。(C)2017 YD Creation,2,S02E02,freeze,FREEZE,FREEZE
7,2017-05-10, 3. 小窓 ,開始から１時間半が経過するも、まだ脱落者が１名しかでていない状況に焦る芸人達。自分が笑わないことはもちろん、笑わせてポイントを稼がなければ勝者にはなれない。小道具や、今シーズンから導入された密室内の「小窓」を使って笑いを仕掛ける。果敢に攻める芸人達。そして脱落者が続出する。(C)2017 YD Creation,2,S02E03,freeze,FREEZE,FREEZE
8,2017-05-17, 4. 迫り来る時間 ,一人、また一人と脱落者が増える中、果敢に攻める芸人達。笑いを仕掛けることは自ら笑うリスクを冒すこと。しかし、新ルールでは仕掛け、ポイントを獲得しなければ勝てない。終了時間が迫り、賞金1000万が見えてきたことで、さらに闘いは過酷に。(C)2017 YD Creation,2,S02E04,freeze,FREEZE,FREEZE
9,2017-05-24, 5. 最後の勝者 ,制限時間ラスト10分。残る2人の死闘が始まる。芸人としてのプライドが、賞金への欲望がぶつかり合う、壮絶な闘い。果たして相手を笑わせることが出来るのか。そしてついに栄誉ある優勝者が決定する！(C)2017 YD Creation,2,S02E05,freeze,FREEZE,FREEZE
